,Predicted 1950,Predicted 1960,Predicted 1970,Predicted 1980,Predicted 1990,Predicted 2000,Predicted 2010,Predicted 2020
Actual 1950,19,11,12,20,1346,1741,1830,0
Actual 1960,4,193,133,128,2953,5098,7278,1
Actual 1970,3,49,525,801,4464,8279,14375,3
Actual 1980,3,26,289,2302,8850,12374,26684,3
Actual 1990,16,138,272,1381,23161,38413,93036,13
Actual 2000,20,100,250,798,17424,62734,190190,29
Actual 2010,8,56,188,670,12623,47807,379153,198
Actual 2020,2,4,20,85,1544,6643,78483,596
