,Predicted 1950,Predicted 1960,Predicted 1970,Predicted 1980,Predicted 1990,Predicted 2000,Predicted 2010,Predicted 2020
Actual 1950,3030,780,451,318,181,91,47,81
Actual 1960,4210,6000,2577,1216,503,592,356,334
Actual 1970,5084,5953,8308,4278,1514,1460,817,1085
Actual 1980,7299,5168,7878,16649,4810,3041,2313,3373
Actual 1990,24786,15225,15963,28269,20869,18885,12548,19885
Actual 2000,28748,21404,20827,27800,24610,54654,40570,52932
Actual 2010,27093,25173,22306,32944,26091,60048,91426,155622
Actual 2020,4427,3769,3485,4806,4234,8381,14969,43306
